;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
4488;sc coronel freitas;CORONEL FREITAS;SC;4204400;80853;
4489;sc coronel martins;CORONEL MARTINS;SC;4204459;81108;
4490;sc correia pinto;CORREIA PINTO;SC;4204558;83950;
4491;sc corupa;CORUPÁ;SC;4204509;80870;
4492;sc criciuma;CRICIÚMA;SC;4204608;80896;
4493;sc cunha pora;CUNHA PORÃ;SC;4204707;80918;
4494;sc cunhatai;CUNHATAÍ;SC;4204756;81620;
4495;sc curitibanos;CURITIBANOS;SC;4204806;80934;
4496;sc descanso;DESCANSO;SC;4204905;80950;
4497;sc dionisio cerqueira;DIONÍSIO CERQUEIRA;SC;4205001;80977;
4498;sc dona emma;DONA EMMA;SC;4205100;80993;
4499;sc doutor pedrinho;DOUTOR PEDRINHO;SC;4205159;80080;
4500;sc entre rios;ENTRE RIOS;SC;4205175;81426;
4501;sc ermo;ERMO;SC;4205191;81167;
4502;sc erval velho;ERVAL VELHO;SC;4205209;81019;
4503;sc faxinal dos guedes;FAXINAL DOS GUEDES;SC;4205308;81035;
4504;sc flor do sertao;FLOR DO SERTÃO;SC;4205357;81604;
4505;sc florianopolis;FLORIANÓPOLIS;SC;4205407;81051;
4506;sc formosa do sul;FORMOSA DO SUL;SC;4205431;80888;
4507;sc forquilhinha;FORQUILHINHA;SC;4205456;81060;
4508;sc fraiburgo;FRAIBURGO;SC;4205506;81078;
4509;sc frei rogerio;FREI ROGÉRIO;SC;4205555;81329;
4510;sc galvao;GALVÃO;SC;4205605;81094;
4511;sc garopaba;GAROPABA;SC;4205704;81132;
4512;sc garuva;GARUVA;SC;4205803;81159;
4513;sc gaspar;GASPAR;SC;4205902;81175;
4514;sc governador celso ramos;GOVERNADOR CELSO RAMOS;SC;4206009;81116;
4515;sc grao-para;GRÃO-PARÁ;SC;4206108;81191;S
4516;sc gravatal;GRAVATAL;SC;4206207;81213;
4517;sc guabiruba;GUABIRUBA;SC;4206306;81230;
4518;sc guaraciaba;GUARACIABA;SC;4206405;81256;
4519;sc guaramirim;GUARAMIRIM;SC;4206504;81272;
4520;sc guaruja do sul;GUARUJÁ DO SUL;SC;4206603;81299;
4521;sc guatambu;GUATAMBÚ;SC;4206652;80527;
4522;sc herval doeste;HERVAL D'OESTE;SC;4206702;81310;
4523;sc ibiam;IBIAM;SC;4206751;81400;
4524;sc ibicare;IBICARÉ;SC;4206801;81337;
4525;sc ibirama;IBIRAMA;SC;4206900;81353;
4526;sc icara;IÇARA;SC;4207007;81370;
4527;sc ilhota;ILHOTA;SC;4207106;81396;
4528;sc imarui;IMARUÍ;SC;4207205;81418;
4529;sc imbituba;IMBITUBA;SC;4207304;81434;
4530;sc imbuia;IMBUIA;SC;4207403;81450;
4531;sc indaial;INDAIAL;SC;4207502;81477;
4532;sc iomere;IOMERÊ;SC;4207577;81361;
4533;sc ipira;IPIRA;SC;4207601;81493;
4534;sc ipora do oeste;IPORÃ DO OESTE;SC;4207650;80020;
4535;sc ipuacu;IPUAÇU;SC;4207684;80829;
4536;sc ipumirim;IPUMIRIM;SC;4207700;81515;
4537;sc iraceminha;IRACEMINHA;SC;4207759;80187;
4538;sc irani;IRANI;SC;4207809;81531;
4539;sc irati;IRATI;SC;4207858;80861;
4540;sc irineopolis;IRINEÓPOLIS;SC;4207908;81558;
4541;sc ita;ITÁ;SC;4208005;81574;
4542;sc itaiopolis;ITAIÓPOLIS;SC;4208104;81590;
4543;sc itajai;ITAJAÍ;SC;4208203;81612;
4544;sc itapema;ITAPEMA;SC;4208302;81639;
4545;sc itapiranga;ITAPIRANGA;SC;4208401;81655;
4546;sc itapoa;ITAPOÁ;SC;4208450;81663;
4547;sc ituporanga;ITUPORANGA;SC;4208500;81671;
4548;sc jabora;JABORÁ;SC;4208609;81698;
4549;sc jacinto machado;JACINTO MACHADO;SC;4208708;81710;
4550;sc jaguaruna;JAGUARUNA;SC;4208807;81736;
4551;sc jaragua do sul;JARAGUÁ DO SUL;SC;4208906;81752;
4552;sc jardinopolis;JARDINÓPOLIS;SC;4208955;81140;
4553;sc joacaba;JOAÇABA;SC;4209003;81779;
4554;sc joinville;JOINVILLE;SC;4209102;81795;
4555;sc jose boiteux;JOSÉ BOITEUX;SC;4209151;80101;
4556;sc jupia;JUPIÁ;SC;4209177;81540;
4557;sc lacerdopolis;LACERDÓPOLIS;SC;4209201;81817;
4558;sc lages;LAGES;SC;4209300;81833;
4559;sc laguna;LAGUNA;SC;4209409;81850;
4560;sc lajeado grande;LAJEADO GRANDE;SC;4209458;80586;
4561;sc laurentino;LAURENTINO;SC;4209508;81876;
4562;sc lauro muller;LAURO MÜLLER;SC;4209607;81892;
4563;sc lebon regis;LEBON RÉGIS;SC;4209706;81914;
4564;sc leoberto leal;LEOBERTO LEAL;SC;4209805;81930;
4565;sc lindoia do sul;LINDÓIA DO SUL;SC;4209854;80047;
4566;sc lontras;LONTRAS;SC;4209904;81957;
4567;sc luis alves;LUÍS ALVES;SC;4210001;81973;S
4568;sc luzerna;LUZERNA;SC;4210035;81809;
4569;sc macieira;MACIEIRA;SC;4210050;80900;
4570;sc mafra;MAFRA;SC;4210100;81990;
4571;sc major gercino;MAJOR GERCINO;SC;4210209;82015;
4572;sc major vieira;MAJOR VIEIRA;SC;4210308;82031;
4573;sc maracaja;MARACAJÁ;SC;4210407;83917;
4574;sc maravilha;MARAVILHA;SC;4210506;82058;
4575;sc marema;MAREMA;SC;4210555;82066;
4576;sc massaranduba;MASSARANDUBA;SC;4210605;82074;
4577;sc matos costa;MATOS COSTA;SC;4210704;82090;
4578;sc meleiro;MELEIRO;SC;4210803;82112;
4579;sc mirim doce;MIRIM DOCE;SC;4210852;80365;
4580;sc modelo;MODELO;SC;4210902;82139;
4581;sc mondai;MONDAÍ;SC;4211009;82155;
4582;sc monte carlo;MONTE CARLO;SC;4211058;80004;
4583;sc monte castelo;MONTE CASTELO;SC;4211108;82171;
4584;sc morro da fumaca;MORRO DA FUMAÇA;SC;4211207;82198;
4585;sc morro grande;MORRO GRANDE;SC;4211256;81086;
4586;sc navegantes;NAVEGANTES;SC;4211306;82210;
4587;sc nova erechim;NOVA ERECHIM;SC;4211405;82236;
4588;sc nova itaberaba;NOVA ITABERABA;SC;4211454;80322;
4589;sc nova trento;NOVA TRENTO;SC;4211504;82252;
4590;sc nova veneza;NOVA VENEZA;SC;4211603;82279;
4591;sc novo horizonte;NOVO HORIZONTE;SC;4211652;80764;
4592;sc orleans;ORLEANS;SC;4211702;82295;
4593;sc otacilio costa;OTACÍLIO COSTA;SC;4211751;83976;
4594;sc ouro;OURO;SC;4211801;82317;
4595;sc ouro verde;OURO VERDE;SC;4211850;80845;
4596;sc paial;PAIAL;SC;4211876;81442;
4597;sc painel;PAINEL;SC;4211892;81264;
4598;sc palhoca;PALHOÇA;SC;4211900;82333;
4599;sc palma sola;PALMA SOLA;SC;4212007;82350;
4600;sc palmeira;PALMEIRA;SC;4212056;81566;
4601;sc palmitos;PALMITOS;SC;4212106;82376;
4602;sc papanduva;PAPANDUVA;SC;4212205;82392;
4603;sc paraiso;PARAÍSO;SC;4212239;80705;
4604;sc passo de torres;PASSO DE TORRES;SC;4212254;80403;
4605;sc passos maia;PASSOS MAIA;SC;4212270;80624;
4606;sc paulo lopes;PAULO LOPES;SC;4212304;82414;
4607;sc pedras grandes;PEDRAS GRANDES;SC;4212403;82430;
4608;sc penha;PENHA;SC;4212502;82457;
4609;sc peritiba;PERITIBA;SC;4212601;82473;
4610;sc pescaria brava;PESCARIA BRAVA;SC;4212650;83925;
4611;sc petrolandia;PETROLÂNDIA;SC;4212700;82490;
4612;sc pinhalzinho;PINHALZINHO;SC;4212908;82538;
4613;sc pinheiro preto;PINHEIRO PRETO;SC;4213005;82554;
4614;sc piratuba;PIRATUBA;SC;4213104;82570;
4615;sc planalto alegre;PLANALTO ALEGRE;SC;4213153;80543;
4616;sc pomerode;POMERODE;SC;4213203;82597;
4617;sc ponte alta;PONTE ALTA;SC;4213302;82619;
4618;sc ponte alta do norte;PONTE ALTA DO NORTE;SC;4213351;80926;
4619;sc ponte serrada;PONTE SERRADA;SC;4213401;82635;
4620;sc porto belo;PORTO BELO;SC;4213500;82651;
4621;sc porto uniao;PORTO UNIÃO;SC;4213609;82678;
4622;sc pouso redondo;POUSO REDONDO;SC;4213708;82694;
4623;sc praia grande;PRAIA GRANDE;SC;4213807;82716;
4624;sc presidente castelo branco;PRESIDENTE CASTELO BRANCO;SC;4213906;82732;S
4625;sc presidente getulio;PRESIDENTE GETÚLIO;SC;4214003;82759;
4626;sc presidente nereu;PRESIDENTE NEREU;SC;4214102;82775;
4627;sc princesa;PRINCESA;SC;4214151;81647;
4628;sc quilombo;QUILOMBO;SC;4214201;82791;
4629;sc rancho queimado;RANCHO QUEIMADO;SC;4214300;82813;
4630;sc rio das antas;RIO DAS ANTAS;SC;4214409;82830;
4631;sc rio do campo;RIO DO CAMPO;SC;4214508;82856;
4632;sc rio do oeste;RIO DO OESTE;SC;4214607;82872;
4633;sc rio do sul;RIO DO SUL;SC;4214805;82910;
4634;sc rio dos cedros;RIO DOS CEDROS;SC;4214706;82899;
4635;sc rio fortuna;RIO FORTUNA;SC;4214904;82937;
4636;sc rio negrinho;RIO NEGRINHO;SC;4215000;82953;
4637;sc rio rufino;RIO RUFINO;SC;4215059;80608;
4638;sc riqueza;RIQUEZA;SC;4215075;80560;
4639;sc rodeio;RODEIO;SC;4215109;82970;
4640;sc romelandia;ROMELÂNDIA;SC;4215208;82996;
4641;sc salete;SALETE;SC;4215307;83011;
4642;sc saltinho;SALTINHO;SC;4215356;81523;
4643;sc salto veloso;SALTO VELOSO;SC;4215406;83038;
4644;sc sangao;SANGÃO;SC;4215455;81000;
4645;sc santa cecilia;SANTA CECÍLIA;SC;4215505;83054;
4646;sc santa helena;SANTA HELENA;SC;4215554;80721;
4647;sc santa rosa de lima;SANTA ROSA DE LIMA;SC;4215604;83070;
4648;sc santa rosa do sul;SANTA ROSA DO SUL;SC;4215653;80241;
4649;sc santa terezinha;SANTA TEREZINHA;SC;4215679;80349;
4650;sc santa terezinha do progresso;SANTA TEREZINHA DO PROGRESSO;SC;4215687;81507;
4651;sc santiago do sul;SANTIAGO DO SUL;SC;4215695;81205;
4652;sc santo amaro da imperatriz;SANTO AMARO DA IMPERATRIZ;SC;4215703;83097;
4653;sc sao bento do sul;SÃO BENTO DO SUL;SC;4215802;83119;
4654;sc sao bernardino;SÃO BERNARDINO;SC;4215752;81485;
4655;sc sao bonifacio;SÃO BONIFÁCIO;SC;4215901;83135;
4656;sc sao carlos;SÃO CARLOS;SC;4216008;83151;
4657;sc sao cristovao do sul;SÃO CRISTÓVÃO DO SUL;SC;4216057;80942;
4658;sc sao domingos;SÃO DOMINGOS;SC;4216107;83178;
4659;sc sao francisco do sul;SÃO FRANCISCO DO SUL;SC;4216206;83194;
4660;sc sao joao batista;SÃO JOÃO BATISTA;SC;4216305;83216;
4661;sc sao joao do itaperiu;SÃO JOÃO DO ITAPERIÚ;SC;4216354;81124;
4662;sc sao joao do oeste;SÃO JOÃO DO OESTE;SC;4216255;80640;
4663;sc sao joao do sul;SÃO JOÃO DO SUL;SC;4216404;83232;
4664;sc sao joaquim;SÃO JOAQUIM;SC;4216503;83259;
4665;sc sao jose;SÃO JOSÉ;SC;4216602;83275;
4666;sc sao jose do cedro;SÃO JOSÉ DO CEDRO;SC;4216701;83291;
4667;sc sao jose do cerrito;SÃO JOSÉ DO CERRITO;SC;4216800;83313;
4668;sc sao lourenco do oeste;SÃO LOURENÇO DO OESTE;SC;4216909;83330;
4669;sc sao ludgero;SÃO LUDGERO;SC;4217006;83356;
4670;sc sao martinho;SÃO MARTINHO;SC;4217105;83372;
4671;sc sao miguel da boa vista;SÃO MIGUEL DA BOA VISTA;SC;4217154;80780;
4672;sc sao miguel do oeste;SÃO MIGUEL DO OESTE;SC;4217204;83399;
4673;sc sao pedro de alcantara;SÃO PEDRO DE ALCÂNTARA;SC;4217253;81183;
4674;sc saudades;SAUDADES;SC;4217303;83410;
4675;sc schroeder;SCHROEDER;SC;4217402;83437;
4676;sc seara;SEARA;SC;4217501;83453;
4677;sc serra alta;SERRA ALTA;SC;4217550;80284;
4678;sc sideropolis;SIDERÓPOLIS;SC;4217600;83470;
4679;sc sombrio;SOMBRIO;SC;4217709;83496;
4680;sc sul brasil;SUL BRASIL;SC;4217758;80446;
4681;sc taio;TAIÓ;SC;4217808;83518;
4682;sc tangara;TANGARÁ;SC;4217907;83534;
4683;sc tigrinhos;TIGRINHOS;SC;4217956;81680;
4684;sc tijucas;TIJUCAS;SC;4218004;83550;
4685;sc timbe do sul;TIMBÉ DO SUL;SC;4218103;83933;
4686;sc timbo;TIMBÓ;SC;4218202;83577;
4687;sc timbo grande;TIMBÓ GRANDE;SC;4218251;80209;
4688;sc tres barras;TRÊS BARRAS;SC;4218301;83593;
4689;sc treviso;TREVISO;SC;4218350;81345;
4690;sc treze de maio;TREZE DE MAIO;SC;4218400;83615;
4691;sc treze tilias;TREZE TÍLIAS;SC;4218509;83631;
4692;sc trombudo central;TROMBUDO CENTRAL;SC;4218608;83658;
4693;sc tubarao;TUBARÃO;SC;4218707;83674;
4694;sc tunapolis;TUNÁPOLIS;SC;4218756;83682;
4695;sc turvo;TURVO;SC;4218806;83690;
4696;sc uniao do oeste;UNIÃO DO OESTE;SC;4218855;80144;
4697;sc urubici;URUBICI;SC;4218905;83712;
4698;sc urupema;URUPEMA;SC;4218954;80160;
4699;sc urussanga;URUSSANGA;SC;4219002;83739;
4700;sc vargeao;VARGEÃO;SC;4219101;83755;
4701;sc vargem;VARGEM;SC;4219150;80462;
4702;sc vargem bonita;VARGEM BONITA;SC;4219176;80969;
4703;sc vidal ramos;VIDAL RAMOS;SC;4219200;83771;
4704;sc videira;VIDEIRA;SC;4219309;83798;
4705;sc vitor meireles;VITOR MEIRELES;SC;4219358;80128;
4706;sc witmarsum;WITMARSUM;SC;4219408;83810;
4707;sc xanxere;XANXERÊ;SC;4219507;83836;
4708;sc xavantina;XAVANTINA;SC;4219606;83852;
4709;sc xaxim;XAXIM;SC;4219705;83879;
4710;sc zortea;ZORTÉA;SC;4219853;81825;
4711;se amparo de sao francisco;AMPARO DE SÃO FRANCISCO;SE;2800100;31011;
4712;se aquidaba;AQUIDABÃ;SE;2800209;31038;
4713;se aracaju;ARACAJU;SE;2800308;31054;
4714;se araua;ARAUÁ;SE;2800407;31070;
4715;se areia branca;AREIA BRANCA;SE;2800506;31097;
4716;se barra dos coqueiros;BARRA DOS COQUEIROS;SE;2800605;31119;
4717;se boquim;BOQUIM;SE;2800670;31151;
4718;se brejo grande;BREJO GRANDE;SE;2800704;31135;
4719;se campo do brito;CAMPO DO BRITO;SE;2801009;31194;
4720;se canhoba;CANHOBA;SE;2801108;31216;
4721;se caninde de sao francisco;CANINDÉ DE SÃO FRANCISCO;SE;2801207;31232;
4722;se capela;CAPELA;SE;2801306;31259;
4723;se carira;CARIRA;SE;2801405;31275;
4724;se carmopolis;CARMÓPOLIS;SE;2801504;31291;
4725;se cedro de sao joao;CEDRO DE SÃO JOÃO;SE;2801603;31313;
4726;se cristinapolis;CRISTINÁPOLIS;SE;2801702;31330;
4727;se cumbe;CUMBE;SE;2801900;31372;
4728;se divina pastora;DIVINA PASTORA;SE;2802007;31399;
4729;se estancia;ESTÂNCIA;SE;2802106;31410;
4730;se feira nova;FEIRA NOVA;SE;2802205;31437;
4731;se frei paulo;FREI PAULO;SE;2802304;31453;
4732;se gararu;GARARU;SE;2802403;31496;
4733;se general maynard;GENERAL MAYNARD;SE;2802502;31470;
4734;se graccho cardoso;GRACCHO CARDOSO;SE;2802601;31518;S
4735;se ilha das flores;ILHA DAS FLORES;SE;2802700;31534;
4736;se indiaroba;INDIAROBA;SE;2802809;31550;
4737;se itabaiana;ITABAIANA;SE;2802908;31577;
4738;se itabaianinha;ITABAIANINHA;SE;2803005;31593;
4739;se itabi;ITABI;SE;2803104;31615;
4740;se itaporanga dajuda;ITAPORANGA D'AJUDA;SE;2803203;31631;
4741;se japaratuba;JAPARATUBA;SE;2803302;31658;
4742;se japoata;JAPOATÃ;SE;2803401;31674;
4743;se lagarto;LAGARTO;SE;2803500;31690;
4744;se laranjeiras;LARANJEIRAS;SE;2803609;31712;
4745;se macambira;MACAMBIRA;SE;2803708;31739;
4746;se malhada dos bois;MALHADA DOS BOIS;SE;2803807;31755;
4747;se malhador;MALHADOR;SE;2803906;31771;
4748;se maruim;MARUIM;SE;2804003;31798;
4749;se moita bonita;MOITA BONITA;SE;2804102;31810;
4750;se monte alegre de sergipe;MONTE ALEGRE DE SERGIPE;SE;2804201;31836;
4751;se muribeca;MURIBECA;SE;2804300;31852;
4752;se neopolis;NEÓPOLIS;SE;2804409;31879;
4753;se nossa senhora aparecida;NOSSA SENHORA APARECIDA;SE;2804458;31356;
4754;se nossa senhora da gloria;NOSSA SENHORA DA GLÓRIA;SE;2804508;31895;
4755;se nossa senhora das dores;NOSSA SENHORA DAS DORES;SE;2804607;31917;
4756;se nossa senhora de lourdes;NOSSA SENHORA DE LOURDES;SE;2804706;31933;
4757;se nossa senhora do socorro;NOSSA SENHORA DO SOCORRO;SE;2804805;31950;
4758;se pacatuba;PACATUBA;SE;2804904;31976;
4759;se pedra mole;PEDRA MOLE;SE;2805000;31992;
4760;se pedrinhas;PEDRINHAS;SE;2805109;32018;
4761;se pinhao;PINHÃO;SE;2805208;32034;
4762;se pirambu;PIRAMBU;SE;2805307;32050;
4763;se poco redondo;POÇO REDONDO;SE;2805406;32077;
4764;se poco verde;POÇO VERDE;SE;2805505;32093;
4765;se porto da folha;PORTO DA FOLHA;SE;2805604;32115;
4766;se propria;PROPRIÁ;SE;2805703;32131;
4767;se riachao do dantas;RIACHÃO DO DANTAS;SE;2805802;32158;
4768;se riachuelo;RIACHUELO;SE;2805901;32174;
4769;se ribeiropolis;RIBEIRÓPOLIS;SE;2806008;32190;
4770;se rosario do catete;ROSÁRIO DO CATETE;SE;2806107;32212;
4771;se salgado;SALGADO;SE;2806206;32239;
4772;se santa luzia do itanhy;SANTA LUZIA DO ITANHY;SE;2806305;32255;
4773;se santa rosa de lima;SANTA ROSA DE LIMA;SE;2806503;32298;
4774;se santana do sao francisco;SANTANA DO SÃO FRANCISCO;SE;2806404;31003;
4775;se santo amaro das brotas;SANTO AMARO DAS BROTAS;SE;2806602;32310;
4776;se sao cristovao;SÃO CRISTÓVÃO;SE;2806701;32336;
4777;se sao domingos;SÃO DOMINGOS;SE;2806800;32352;
4778;se sao francisco;SÃO FRANCISCO;SE;2806909;32379;
4779;se sao miguel do aleixo;SÃO MIGUEL DO ALEIXO;SE;2807006;32395;
4780;se simao dias;SIMÃO DIAS;SE;2807105;32417;
4781;se siriri;SIRIRI;SE;2807204;32433;
4782;se telha;TELHA;SE;2807303;32450;
4783;se tobias barreto;TOBIAS BARRETO;SE;2807402;32476;
4784;se tomar do geru;TOMAR DO GERU;SE;2807501;32492;
4785;se umbauba;UMBAÚBA;SE;2807600;32514;
4786;sp adamantina;ADAMANTINA;SP;3500105;61018;
4787;sp adolfo;ADOLFO;SP;3500204;61034;
4788;sp aguai;AGUAÍ;SP;3500303;61050;
4789;sp aguas da prata;ÁGUAS DA PRATA;SP;3500402;61077;
4790;sp aguas de lindoia;ÁGUAS DE LINDÓIA;SP;3500501;61093;
4791;sp aguas de santa barbara;ÁGUAS DE SANTA BÁRBARA;SP;3500550;70190;
4792;sp aguas de sao pedro;ÁGUAS DE SÃO PEDRO;SP;3500600;61115;
4793;sp agudos;AGUDOS;SP;3500709;61131;
4794;sp alambari;ALAMBARI;SP;3500758;61581;
4795;sp alfredo marcondes;ALFREDO MARCONDES;SP;3500808;61158;
4796;sp altair;ALTAIR;SP;3500907;61174;
4797;sp altinopolis;ALTINÓPOLIS;SP;3501004;61190;
4798;sp alto alegre;ALTO ALEGRE;SP;3501103;61212;
4799;sp aluminio;ALUMÍNIO;SP;3501152;61220;
4800;sp alvares florence;ÁLVARES FLORENCE;SP;3501202;61239;
4801;sp alvares machado;ÁLVARES MACHADO;SP;3501301;61255;
4802;sp alvaro de carvalho;ÁLVARO DE CARVALHO;SP;3501400;61271;
4803;sp alvinlandia;ALVINLÂNDIA;SP;3501509;61298;
4804;sp americana;AMERICANA;SP;3501608;61310;
4805;sp americo brasiliense;AMÉRICO BRASILIENSE;SP;3501707;61336;
4806;sp americo de campos;AMÉRICO DE CAMPOS;SP;3501806;61352;
4807;sp amparo;AMPARO;SP;3501905;61379;
4808;sp analandia;ANALÂNDIA;SP;3502002;61395;
4809;sp andradina;ANDRADINA;SP;3502101;61417;
4810;sp angatuba;ANGATUBA;SP;3502200;61433;
4811;sp anhembi;ANHEMBI;SP;3502309;61450;
4812;sp anhumas;ANHUMAS;SP;3502408;61476;
4813;sp aparecida;APARECIDA;SP;3502507;61492;
4814;sp aparecida doeste;APARECIDA D'OESTE;SP;3502606;61514;
4815;sp apiai;APIAÍ;SP;3502705;61530;
4816;sp aracariguama;ARAÇARIGUAMA;SP;3502754;61263;
4817;sp aracatuba;ARAÇATUBA;SP;3502804;61557;
4818;sp aracoiaba da serra;ARAÇOIABA DA SERRA;SP;3502903;61573;
4819;sp aramina;ARAMINA;SP;3503000;61590;
4820;sp arandu;ARANDU;SP;3503109;61611;
4821;sp arapei;ARAPEÍ;SP;3503158;61646;
4822;sp araraquara;ARARAQUARA;SP;3503208;61638;
4823;sp araras;ARARAS;SP;3503307;61654;
4824;sp arco-iris;ARCO-ÍRIS;SP;3503356;62065;
4825;sp arealva;AREALVA;SP;3503406;61670;
4826;sp areias;AREIAS;SP;3503505;61697;
4827;sp areiopolis;AREIÓPOLIS;SP;3503604;61719;
4828;sp ariranha;ARIRANHA;SP;3503703;61735;
4829;sp artur nogueira;ARTUR NOGUEIRA;SP;3503802;61751;
4830;sp aruja;ARUJÁ;SP;3503901;61778;
4831;sp aspasia;ASPÁSIA;SP;3503950;61522;
4832;sp assis;ASSIS;SP;3504008;61794;
4833;sp atibaia;ATIBAIA;SP;3504107;61816;
4834;sp auriflama;AURIFLAMA;SP;3504206;61832;
4835;sp avai;AVAÍ;SP;3504305;61859;
4836;sp avanhandava;AVANHANDAVA;SP;3504404;61875;
4837;sp avare;AVARÉ;SP;3504503;61891;
4838;sp bady bassitt;BADY BASSITT;SP;3504602;61913;
4839;sp balbinos;BALBINOS;SP;3504701;61930;
4840;sp balsamo;BÁLSAMO;SP;3504800;61956;
4841;sp bananal;BANANAL;SP;3504909;61972;
4842;sp barao de antonina;BARÃO DE ANTONINA;SP;3505005;62014;
4843;sp barbosa;BARBOSA;SP;3505104;61999;
4844;sp bariri;BARIRI;SP;3505203;62030;
4845;sp barra bonita;BARRA BONITA;SP;3505302;62057;
4846;sp barra do chapeu;BARRA DO CHAPÉU;SP;3505351;61360;
4847;sp barra do turvo;BARRA DO TURVO;SP;3505401;62073;
4848;sp barretos;BARRETOS;SP;3505500;62090;
4849;sp barrinha;BARRINHA;SP;3505609;62111;
4850;sp barueri;BARUERI;SP;3505708;62138;
4851;sp bastos;BASTOS;SP;3505807;62154;
4852;sp batatais;BATATAIS;SP;3505906;62170;
4853;sp bauru;BAURU;SP;3506003;62197;
4854;sp bebedouro;BEBEDOURO;SP;3506102;62219;
4855;sp bento de abreu;BENTO DE ABREU;SP;3506201;62235;
4856;sp bernardino de campos;BERNARDINO DE CAMPOS;SP;3506300;62251;
4857;sp bertioga;BERTIOGA;SP;3506359;61280;
4858;sp bilac;BILAC;SP;3506409;62278;
4859;sp birigui;BIRIGUI;SP;3506508;62294;
4860;sp biritiba mirim;BIRITIBA MIRIM;SP;3506607;62316;
4861;sp boa esperanca do sul;BOA ESPERANÇA DO SUL;SP;3506706;62332;
4862;sp bocaina;BOCAINA;SP;3506805;62359;
4863;sp bofete;BOFETE;SP;3506904;62375;
4864;sp boituva;BOITUVA;SP;3507001;62391;
4865;sp bom jesus dos perdoes;BOM JESUS DOS PERDÕES;SP;3507100;62413;
4866;sp bom sucesso de itarare;BOM SUCESSO DE ITARARÉ;SP;3507159;61786;
4867;sp bora;BORÁ;SP;3507209;62430;
4868;sp boraceia;BORACÉIA;SP;3507308;62456;
4869;sp borborema;BORBOREMA;SP;3507407;62472;
4870;sp borebi;BOREBI;SP;3507456;61026;
4871;sp botucatu;BOTUCATU;SP;3507506;62499;
4872;sp braganca paulista;BRAGANÇA PAULISTA;SP;3507605;62510;
4873;sp brauna;BRAÚNA;SP;3507704;62553;
4874;sp brejo alegre;BREJO ALEGRE;SP;3507753;62081;
4875;sp brodowski;BRODOWSKI;SP;3507803;62570;
4876;sp brotas;BROTAS;SP;3507902;62596;
4877;sp buri;BURI;SP;3508009;62618;
4878;sp buritama;BURITAMA;SP;3508108;62634;
4879;sp buritizal;BURITIZAL;SP;3508207;62650;
4880;sp cabralia paulista;CABRÁLIA PAULISTA;SP;3508306;62677;
4881;sp cabreuva;CABREÚVA;SP;3508405;62693;
4882;sp cacapava;CAÇAPAVA;SP;3508504;62715;
4883;sp cachoeira paulista;CACHOEIRA PAULISTA;SP;3508603;62731;
4884;sp caconde;CACONDE;SP;3508702;62758;
4885;sp cafelandia;CAFELÂNDIA;SP;3508801;62774;
4886;sp caiabu;CAIABU;SP;3508900;62790;
4887;sp caieiras;CAIEIRAS;SP;3509007;62812;
4888;sp caiua;CAIUÁ;SP;3509106;62839;
4889;sp cajamar;CAJAMAR;SP;3509205;62855;
4890;sp cajati;CAJATI;SP;3509254;61484;
4891;sp cajobi;CAJOBI;SP;3509304;62871;
4892;sp cajuru;CAJURU;SP;3509403;62898;
4893;sp campina do monte alegre;CAMPINA DO MONTE ALEGRE;SP;3509452;61506;
4894;sp campinas;CAMPINAS;SP;3509502;62910;
4895;sp campo limpo paulista;CAMPO LIMPO PAULISTA;SP;3509601;62936;
4896;sp campos do jordao;CAMPOS DO JORDÃO;SP;3509700;62952;
4897;sp campos novos paulista;CAMPOS NOVOS PAULISTA;SP;3509809;62979;
4898;sp cananeia;CANANÉIA;SP;3509908;62995;
4899;sp canas;CANAS;SP;3509957;62103;
4900;sp candido mota;CÂNDIDO MOTA;SP;3510005;63010;
4901;sp candido rodrigues;CÂNDIDO RODRIGUES;SP;3510104;63037;
4902;sp canitar;CANITAR;SP;3510153;61344;
4903;sp capao bonito;CAPÃO BONITO;SP;3510203;63053;
4904;sp capela do alto;CAPELA DO ALTO;SP;3510302;63070;
4905;sp capivari;CAPIVARI;SP;3510401;63096;
4906;sp caraguatatuba;CARAGUATATUBA;SP;3510500;63118;
4907;sp carapicuiba;CARAPICUÍBA;SP;3510609;63134;
4908;sp cardoso;CARDOSO;SP;3510708;63150;
4909;sp casa branca;CASA BRANCA;SP;3510807;63177;
4910;sp cassia dos coqueiros;CÁSSIA DOS COQUEIROS;SP;3510906;63193;
4911;sp castilho;CASTILHO;SP;3511003;63215;
4912;sp catanduva;CATANDUVA;SP;3511102;63231;
4913;sp catigua;CATIGUÁ;SP;3511201;63258;
4914;sp cedral;CEDRAL;SP;3511300;63274;
4915;sp cerqueira cesar;CERQUEIRA CÉSAR;SP;3511409;63290;
4916;sp cerquilho;CERQUILHO;SP;3511508;63312;
4917;sp cesario lange;CESÁRIO LANGE;SP;3511607;63339;
4918;sp charqueada;CHARQUEADA;SP;3511706;63355;
4919;sp chavantes;CHAVANTES;SP;3557204;63371;
4920;sp clementina;CLEMENTINA;SP;3511904;63398;
4921;sp colina;COLINA;SP;3512001;63410;
4922;sp colombia;COLÔMBIA;SP;3512100;63436;
4923;sp conchal;CONCHAL;SP;3512209;63452;
4924;sp conchas;CONCHAS;SP;3512308;63479;
